Map,Agents,Seed,Success,Cost,Time_s
room-64-64-16.map,20,3,False,-1,30.03555417060852
room-64-64-16.map,20,4,True,1925,1.0217299461364746
room-64-64-16.map,20,5,False,-1,30.034793853759766
room-64-64-16.map,20,6,True,1840,0.6798222064971924
room-64-64-16.map,20,7,True,1935,0.6305129528045654
room-64-64-16.map,20,8,False,-1,30.031733989715576
room-64-64-16.map,20,9,False,-1,30.032542943954468
room-64-64-16.map,20,10,True,1939,3.2934389114379883
room-64-64-16.map,30,1,False,-1,30.034212112426758
room-64-64-16.map,30,2,False,-1,30.033719778060913
room-64-64-16.map,30,3,False,-1,30.038011074066162
room-64-64-16.map,30,4,True,2981,1.290992259979248
room-64-64-16.map,30,5,False,-1,30.03216004371643
room-64-64-16.map,30,6,True,2894,0.6806859970092773
room-64-64-16.map,30,7,True,2981,9.97161078453064
room-64-64-16.map,30,8,False,-1,30.034430027008057
room-64-64-16.map,30,9,False,-1,30.0324809551239
room-64-64-16.map,30,10,True,2968,4.82067084312439
room-64-64-16.map,40,1,False,-1,30.03052520751953
room-64-64-16.map,40,2,False,-1,30.03357195854187
room-64-64-16.map,40,3,False,-1,30.032354831695557
room-64-64-16.map,40,4,False,-1,30.03386092185974
room-64-64-16.map,40,5,False,-1,30.03966498374939
room-64-64-16.map,40,6,True,4284,0.6761090755462646
room-64-64-16.map,40,7,False,-1,30.046322345733643
room-64-64-16.map,40,8,False,-1,30.035444021224976
room-64-64-16.map,40,9,False,-1,30.033589124679565
room-64-64-16.map,40,10,False,-1,30.036768198013306
room-64-64-16.map,50,1,False,-1,30.034435033798218
room-64-64-16.map,50,2,False,-1,30.03769326210022
room-64-64-16.map,50,3,False,-1,30.03333616256714
room-64-64-16.map,50,4,False,-1,30.03122305870056
room-64-64-16.map,50,5,False,-1,30.035707235336304
room-64-64-16.map,50,6,True,5239,0.6915171146392822
room-64-64-16.map,50,7,False,-1,30.031524896621704
room-64-64-16.map,50,8,False,-1,30.035974740982056
room-64-64-16.map,50,9,False,-1,30.03644609451294
room-64-64-16.map,50,10,False,-1,30.049272060394287
room-64-64-16.map,60,1,False,-1,30.033946752548218
room-64-64-16.map,60,2,False,-1,30.039743900299072
room-64-64-16.map,60,3,False,-1,30.034339904785156
room-64-64-16.map,60,4,False,-1,30.03365993499756
room-64-64-16.map,60,5,False,-1,30.033846855163574
room-64-64-16.map,60,6,True,6414,0.7158098220825195
room-64-64-16.map,60,7,False,-1,30.031603813171387
room-64-64-16.map,60,8,False,-1,30.03836226463318
room-64-64-16.map,60,9,False,-1,30.03982400894165
room-64-64-16.map,60,10,False,-1,30.034178018569946
maze-32-32-4.map,20,1,True,1086,0.10971283912658691
maze-32-32-4.map,20,2,True,1013,0.10371780395507812
maze-32-32-4.map,20,3,True,1017,0.11382317543029785
maze-32-32-4.map,20,4,True,1089,0.10290718078613281
maze-32-32-4.map,20,5,True,1089,0.09474396705627441
maze-32-32-4.map,20,6,True,1042,0.11028885841369629
maze-32-32-4.map,20,7,False,-1,30.028088808059692
maze-32-32-4.map,20,8,False,-1,30.03700280189514
maze-32-32-4.map,20,9,False,-1,30.029698133468628
maze-32-32-4.map,20,10,True,1122,0.1509380340576172
maze-32-32-4.map,30,1,True,1466,0.1458899974822998
maze-32-32-4.map,30,2,True,1582,1.1262311935424805
maze-32-32-4.map,30,3,True,1466,0.2951490879058838
maze-32-32-4.map,30,4,True,1572,0.1958608627319336
maze-32-32-4.map,30,5,True,1516,0.08542108535766602
maze-32-32-4.map,30,6,True,1530,0.23508095741271973
maze-32-32-4.map,30,7,False,-1,30.02941107749939
maze-32-32-4.map,30,8,False,-1,30.03199005126953
maze-32-32-4.map,30,9,False,-1,30.03077483177185
maze-32-32-4.map,30,10,True,1524,0.13793087005615234
maze-32-32-4.map,40,1,True,1832,0.15599894523620605
maze-32-32-4.map,40,2,True,1814,7.507918834686279
maze-32-32-4.map,40,3,True,1948,0.22941803932189941
maze-32-32-4.map,40,4,True,1961,0.1916506290435791
maze-32-32-4.map,40,5,True,1911,0.09442615509033203
maze-32-32-4.map,40,6,True,1880,11.322777032852173
maze-32-32-4.map,40,7,False,-1,30.034262895584106
maze-32-32-4.map,40,8,False,-1,30.032591819763184
maze-32-32-4.map,40,9,False,-1,30.030258178710938
maze-32-32-4.map,40,10,True,1880,0.30341601371765137
maze-32-32-4.map,50,1,False,-1,30.029794931411743
maze-32-32-4.map,50,2,False,-1,30.04479718208313
maze-32-32-4.map,50,3,False,-1,30.04417610168457
maze-32-32-4.map,50,4,True,2497,0.5701899528503418
maze-32-32-4.map,50,5,True,2591,0.2612287998199463
maze-32-32-4.map,50,6,False,-1,30.034833908081055
maze-32-32-4.map,50,7,True,2558,8.321411848068237
maze-32-32-4.map,50,8,False,-1,30.04327917098999
maze-32-32-4.map,50,9,False,-1,30.044318199157715
maze-32-32-4.map,50,10,False,-1,30.03066921234131
maze-32-32-4.map,60,1,False,-1,30.030539989471436
maze-32-32-4.map,60,2,False,-1,30.031310081481934
maze-32-32-4.map,60,3,False,-1,30.032639026641846
maze-32-32-4.map,60,4,True,3067,0.3786160945892334
maze-32-32-4.map,60,5,True,2948,0.5876798629760742
maze-32-32-4.map,60,6,False,-1,30.031524896621704
maze-32-32-4.map,60,7,False,-1,30.03281807899475
maze-32-32-4.map,60,8,False,-1,30.03118920326233
maze-32-32-4.map,60,9,False,-1,30.03247594833374
maze-32-32-4.map,60,10,False,-1,30.034088850021362
maze-32-32-2.map,20,1,False,-1,30.03549814224243
maze-32-32-2.map,20,2,False,-1,30.031075716018677
maze-32-32-2.map,20,3,False,-1,30.03256607055664
maze-32-32-2.map,20,4,True,1103,0.08699178695678711
maze-32-32-2.map,20,5,True,1148,0.09573507308959961
maze-32-32-2.map,20,6,False,-1,30.03283929824829
maze-32-32-2.map,20,7,False,-1,30.035259008407593
maze-32-32-2.map,20,8,False,-1,617.8768811225891
maze-32-32-2.map,20,9,False,-1,30.049033880233765
maze-32-32-2.map,20,10,False,-1,30.029834985733032
maze-32-32-2.map,30,1,False,-1,30.029029846191406
maze-32-32-2.map,30,2,False,-1,30.04154086112976
maze-32-32-2.map,30,3,False,-1,30.04769277572632
maze-32-32-2.map,30,4,True,1661,0.11138367652893066
maze-32-32-2.map,30,5,True,1669,0.09015917778015137
maze-32-32-2.map,30,6,False,-1,30.033600091934204
maze-32-32-2.map,30,7,False,-1,30.041576862335205
maze-32-32-2.map,30,8,False,-1,30.040923833847046
maze-32-32-2.map,30,9,False,-1,30.044702291488647
maze-32-32-2.map,30,10,False,-1,30.048094034194946
maze-32-32-2.map,40,1,False,-1,30.030845880508423
maze-32-32-2.map,40,2,False,-1,30.04533290863037
maze-32-32-2.map,40,3,False,-1,30.037264108657837
maze-32-32-2.map,40,4,True,2330,0.10697817802429199
maze-32-32-2.map,40,5,False,-1,30.033686876296997
maze-32-32-2.map,40,6,False,-1,30.03131127357483
maze-32-32-2.map,40,7,False,-1,30.03153109550476
maze-32-32-2.map,40,8,False,-1,30.029267072677612
maze-32-32-2.map,40,9,False,-1,30.029889822006226
maze-32-32-2.map,40,10,False,-1,30.030482053756714
maze-32-32-2.map,50,1,False,-1,30.038672924041748
maze-32-32-2.map,50,2,False,-1,30.037556886672974
maze-32-32-2.map,50,3,False,-1,30.03491711616516
maze-32-32-2.map,50,4,False,-1,30.03241276741028
maze-32-32-2.map,50,5,False,-1,30.032859802246094
maze-32-32-2.map,50,6,False,-1,30.029711961746216
maze-32-32-2.map,50,7,False,-1,30.031865119934082
maze-32-32-2.map,50,8,False,-1,30.03273916244507
maze-32-32-2.map,50,9,False,-1,30.0344557762146
maze-32-32-2.map,50,10,False,-1,168.0281207561493
maze-32-32-2.map,60,1,False,-1,30.081785917282104
maze-32-32-2.map,60,2,False,-1,30.034512758255005
maze-32-32-2.map,60,3,False,-1,30.032207012176514
maze-32-32-2.map,60,4,False,-1,30.04361319541931
maze-32-32-2.map,60,5,False,-1,30.037733793258667
maze-32-32-2.map,60,6,False,-1,30.045395851135254
maze-32-32-2.map,60,7,False,-1,30.038158178329468
maze-32-32-2.map,60,8,False,-1,30.03129005432129
maze-32-32-2.map,60,9,False,-1,30.030674934387207
maze-32-32-2.map,60,10,False,-1,30.03091025352478
random-32-32-10.map,20,1,True,436,0.07244706153869629
random-32-32-10.map,20,2,True,436,0.06775212287902832
random-32-32-10.map,20,3,True,436,0.0708608627319336
random-32-32-10.map,20,4,True,436,0.06800007820129395
random-32-32-10.map,20,5,True,436,0.06991887092590332
random-32-32-10.map,20,6,True,436,0.07045888900756836
random-32-32-10.map,20,7,True,436,0.07057619094848633
random-32-32-10.map,20,8,True,436,0.0695188045501709
random-32-32-10.map,20,9,True,436,0.0696108341217041
random-32-32-10.map,20,10,True,436,0.06986403465270996
random-32-32-10.map,30,1,True,627,0.06988286972045898
random-32-32-10.map,30,2,True,629,0.06876087188720703
random-32-32-10.map,30,3,True,627,0.06994509696960449
random-32-32-10.map,30,4,True,638,0.06914806365966797
random-32-32-10.map,30,5,True,627,0.06997013092041016
random-32-32-10.map,30,6,True,628,0.06911277770996094
random-32-32-10.map,30,7,True,629,0.07091712951660156
random-32-32-10.map,30,8,True,627,0.07040190696716309
random-32-32-10.map,30,9,True,629,0.06977605819702148
random-32-32-10.map,30,10,True,627,0.07255387306213379
random-32-32-10.map,40,1,True,880,0.07107424736022949
random-32-32-10.map,40,2,True,866,0.0702052116394043
random-32-32-10.map,40,3,True,914,0.07008886337280273
random-32-32-10.map,40,4,True,893,0.06847119331359863
random-32-32-10.map,40,5,True,885,0.07183313369750977
random-32-32-10.map,40,6,True,864,0.0716550350189209
random-32-32-10.map,40,7,True,903,0.06923723220825195
random-32-32-10.map,40,8,True,895,0.06729698181152344
random-32-32-10.map,40,9,False,-1,30.029052019119263
random-32-32-10.map,40,10,True,907,0.0738832950592041
random-32-32-10.map,50,1,True,1103,0.07239294052124023
random-32-32-10.map,50,2,True,1107,0.07010102272033691
random-32-32-10.map,50,3,True,1100,0.07040095329284668
random-32-32-10.map,50,4,True,1116,0.07466530799865723
random-32-32-10.map,50,5,True,1142,0.0720987319946289
random-32-32-10.map,50,6,True,1130,0.07070112228393555
random-32-32-10.map,50,7,True,1111,0.06860899925231934
random-32-32-10.map,50,8,True,1139,0.07026815414428711
random-32-32-10.map,50,9,False,-1,30.029979944229126
random-32-32-10.map,50,10,True,1128,0.07517886161804199
random-32-32-10.map,60,1,True,1421,0.07361507415771484
random-32-32-10.map,60,2,True,1417,0.07176709175109863
random-32-32-10.map,60,3,True,1440,0.0724949836730957
random-32-32-10.map,60,4,True,1451,0.07078719139099121
random-32-32-10.map,60,5,True,1404,0.07216572761535645
random-32-32-10.map,60,6,True,1441,0.07202386856079102
random-32-32-10.map,60,7,True,1459,0.06698107719421387
random-32-32-10.map,60,8,True,1473,0.07027006149291992
random-32-32-10.map,60,9,False,-1,30.027982711791992
random-32-32-10.map,60,10,True,1447,0.07685303688049316
random-32-32-20.map,20,1,True,400,0.06613588333129883
random-32-32-20.map,20,2,True,400,0.06467103958129883
random-32-32-20.map,20,3,True,400,0.06233716011047363
random-32-32-20.map,20,4,True,400,0.0618281364440918
random-32-32-20.map,20,5,True,402,0.07258796691894531
random-32-32-20.map,20,6,True,400,0.06191825866699219
random-32-32-20.map,20,7,True,400,0.06416988372802734
random-32-32-20.map,20,8,True,400,0.06201004981994629
random-32-32-20.map,20,9,False,-1,30.030268907546997
random-32-32-20.map,20,10,True,400,0.06479001045227051
random-32-32-20.map,30,1,True,645,0.06571316719055176
random-32-32-20.map,30,2,True,659,0.06427907943725586
random-32-32-20.map,30,3,True,663,0.06255793571472168
random-32-32-20.map,30,4,True,663,0.06299185752868652
random-32-32-20.map,30,5,True,643,0.06837701797485352
random-32-32-20.map,30,6,True,642,0.06197190284729004
random-32-32-20.map,30,7,False,-1,30.03032922744751
random-32-32-20.map,30,8,True,643,0.0693049430847168
random-32-32-20.map,30,9,False,-1,30.030423164367676
random-32-32-20.map,30,10,True,648,0.06826090812683105
random-32-32-20.map,40,1,True,922,0.07036590576171875
random-32-32-20.map,40,2,True,918,0.07265734672546387
random-32-32-20.map,40,3,True,935,0.06826591491699219
random-32-32-20.map,40,4,True,935,0.06842494010925293
random-32-32-20.map,40,5,True,971,0.07265591621398926
random-32-32-20.map,40,6,False,-1,30.03129291534424
random-32-32-20.map,40,7,True,930,0.07134699821472168
random-32-32-20.map,40,8,True,916,0.07255220413208008
random-32-32-20.map,40,9,False,-1,30.032870054244995
random-32-32-20.map,40,10,True,962,0.07325482368469238
random-32-32-20.map,50,1,True,1200,0.07620716094970703
random-32-32-20.map,50,2,True,1247,0.07336592674255371
random-32-32-20.map,50,3,True,1201,0.06872797012329102
random-32-32-20.map,50,4,True,1187,0.07039213180541992
random-32-32-20.map,50,5,True,1243,0.07923603057861328
random-32-32-20.map,50,6,True,1226,0.07105302810668945
random-32-32-20.map,50,7,True,1221,0.0747079849243164
random-32-32-20.map,50,8,False,-1,30.029273986816406
